DATE,assembly,c,c#,c++,delphi,go,java,javascript,perl,php,python,r,ruby,swift
2008-07-01,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,8.0,85.0,511.0,164.0,14.0,0.0,222.0,162.0,28.0,161.0,124.0,0.0,73.0,0.0
2008-09-01,28.0,321.0,1649.0,755.0,105.0,0.0,1137.0,640.0,131.0,482.0,542.0,6.0,290.0,0.0
2008-10-01,15.0,303.0,1989.0,811.0,112.0,0.0,1153.0,725.0,127.0,617.0,510.0,0.0,249.0,0.0
2008-11-01,17.0,259.0,1730.0,735.0,141.0,0.0,958.0,579.0,97.0,504.0,452.0,1.0,160.0,0.0
2008-12-01,18.0,186.0,1597.0,633.0,134.0,0.0,832.0,627.0,134.0,481.0,441.0,1.0,161.0,0.0
2009-01-01,22.0,321.0,2378.0,853.0,164.0,0.0,1150.0,792.0,147.0,636.0,631.0,8.0,209.0,1.0
2009-02-01,37.0,332.0,2599.0,845.0,168.0,0.0,1208.0,948.0,165.0,769.0,630.0,9.0,287.0,1.0
2009-03-01,24.0,430.0,3162.0,1056.0,162.0,0.0,1440.0,1005.0,139.0,904.0,765.0,4.0,330.0,1.0
2009-04-01,49.0,458.0,3320.0,1020.0,185.0,0.0,1534.0,1050.0,161.0,968.0,768.0,12.0,358.0,0.0
2009-05-01,47.0,481.0,3560.0,1218.0,202.0,0.0,1819.0,1434.0,197.0,1183.0,999.0,2.0,402.0,2.0
2009-06-01,49.0,505.0,3885.0,1253.0,222.0,0.0,2115.0,1557.0,247.0,1580.0,1045.0,5.0,433.0,1.0
2009-07-01,32.0,542.0,4411.0,1468.0,269.0,0.0,2263.0,1750.0,259.0,2035.0,1162.0,51.0,500.0,0.0
2009-08-01,48.0,530.0,4460.0,1401.0,246.0,0.0,2193.0,1858.0,252.0,2186.0,1139.0,47.0,485.0,2.0
2009-09-01,62.0,573.0,4356.0,1465.0,252.0,0.0,2264.0,1755.0,250.0,2268.0,1166.0,138.0,477.0,2.0
2009-10-01,74.0,775.0,4724.0,1689.0,255.0,0.0,2505.0,2044.0,282.0,2364.0,1421.0,73.0,493.0,1.0
2009-11-01,82.0,967.0,4682.0,1758.0,274.0,66.0,2763.0,2227.0,323.0,2690.0,1559.0,94.0,654.0,2.0
2009-12-01,62.0,851.0,4491.0,1658.0,282.0,11.0,2690.0,2302.0,262.0,2830.0,1589.0,80.0,573.0,1.0
2010-01-01,101.0,982.0,5116.0,2001.0,303.0,15.0,3728.0,2620.0,302.0,3439.0,1949.0,94.0,686.0,0.0
2010-02-01,69.0,1036.0,5105.0,2277.0,283.0,7.0,3582.0,2640.0,348.0,3170.0,1866.0,122.0,688.0,2.0
2010-03-01,122.0,1118.0,6039.0,2440.0,318.0,8.0,4448.0,2986.0,392.0,3757.0,2072.0,139.0,696.0,0.0
2010-04-01,124.0,1186.0,5786.0,2490.0,271.0,10.0,3889.0,3003.0,365.0,3651.0,1816.0,160.0,753.0,2.0
2010-05-01,108.0,1180.0,5939.0,2423.0,280.0,17.0,4177.0,3226.0,287.0,3997.0,2010.0,139.0,776.0,1.0
2010-06-01,91.0,1155.0,6153.0,2828.0,329.0,15.0,4290.0,3469.0,409.0,4099.0,2209.0,178.0,853.0,2.0
2010-07-01,98.0,1288.0,6687.0,2690.0,334.0,8.0,4522.0,3874.0,437.0,4610.0,2596.0,234.0,911.0,1.0
2010-08-01,86.0,1371.0,6965.0,2638.0,354.0,13.0,4712.0,4001.0,548.0,5148.0,2494.0,283.0,995.0,2.0
2010-09-01,117.0,1382.0,6405.0,2744.0,319.0,9.0,4723.0,3999.0,460.0,4703.0,2252.0,236.0,938.0,1.0
2010-10-01,123.0,1444.0,6745.0,2934.0,361.0,13.0,5033.0,4119.0,500.0,4523.0,2672.0,214.0,926.0,1.0
2010-11-01,164.0,1676.0,7324.0,3374.0,390.0,16.0,5603.0,4545.0,466.0,5125.0,2611.0,242.0,929.0,1.0
2010-12-01,123.0,1469.0,7117.0,3139.0,321.0,18.0,5682.0,4948.0,501.0,5400.0,2484.0,223.0,1022.0,2.0
2011-01-01,134.0,1462.0,7994.0,3501.0,370.0,15.0,6546.0,5428.0,480.0,6444.0,2907.0,250.0,1204.0,3.0
2011-02-01,145.0,1641.0,8233.0,3449.0,360.0,16.0,6876.0,5589.0,483.0,6723.0,3017.0,322.0,1253.0,3.0
2011-03-01,192.0,2109.0,9998.0,4182.0,518.0,3.0,8482.0,6767.0,604.0,8128.0,3751.0,422.0,1639.0,3.0
2011-04-01,158.0,2042.0,9288.0,4171.0,402.0,7.0,7903.0,6880.0,553.0,7675.0,3348.0,476.0,1477.0,3.0
2011-05-01,158.0,1826.0,10038.0,3889.0,477.0,37.0,8576.0,7311.0,582.0,8121.0,3522.0,427.0,1565.0,1.0
2011-06-01,140.0,1767.0,9781.0,3817.0,456.0,34.0,7926.0,7693.0,570.0,8068.0,3475.0,444.0,1560.0,3.0
