DATE,assembly,c,c#,c++,delphi,go,java,javascript,perl,php,python,r,ruby,swift
2008-07-01,,,,,,,,,,,,,,
2008-08-01,,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,,
2008-10-01,,,,,,,,,,,,,,
2008-11-01,,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,
2009-02-01,,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,,
2009-04-01,,,,,,,,,,,,,,
2009-05-01,,,,,,,,,,,,,,
2009-06-01,26.166666666666668,306.75,2198.5833333333335,778.5833333333334,134.08333333333334,0.0,1130.6666666666667,793.25,131.08333333333334,690.4166666666666,575.5833333333334,4.0,246.0,0.5
2009-07-01,28.833333333333332,351.9166666666667,2565.9166666666665,900.9166666666666,156.5,0.0,1319.25,939.0833333333334,152.66666666666666,860.0,672.4166666666666,8.25,287.6666666666667,0.5
2009-08-01,32.166666666666664,389.0,2895.0,1004.0,175.83333333333334,0.0,1483.5,1080.4166666666667,171.33333333333334,1028.75,757.0,12.166666666666666,322.0,0.6666666666666666
2009-09-01,35.0,410.0,3120.5833333333335,1063.1666666666667,188.08333333333334,0.0,1577.4166666666667,1173.3333333333333,181.25,1177.5833333333333,809.0,23.166666666666668,337.5833333333333,0.8333333333333334
2009-10-01,39.916666666666664,449.3333333333333,3348.5,1136.3333333333333,200.0,0.0,1690.0833333333333,1283.25,194.16666666666666,1323.1666666666667,884.9166666666666,29.25,357.9166666666667,0.9166666666666666
2009-11-01,45.333333333333336,508.3333333333333,3594.5,1221.5833333333333,211.08333333333334,5.5,1840.5,1420.5833333333333,213.0,1505.3333333333333,977.1666666666666,37.0,399.0833333333333,1.0833333333333333
2009-12-01,49.0,563.75,3835.6666666666665,1307.0,223.41666666666666,6.416666666666667,1995.3333333333333,1560.1666666666667,223.66666666666666,1701.0833333333333,1072.8333333333333,43.583333333333336,433.4166666666667,1.1666666666666667
2010-01-01,55.583333333333336,618.8333333333334,4063.8333333333335,1402.6666666666667,235.0,7.666666666666667,2210.1666666666665,1712.5,236.58333333333334,1934.6666666666667,1182.6666666666667,50.75,473.1666666666667,1.0833333333333333
2010-02-01,58.25,677.5,4272.666666666667,1522.0,244.58333333333334,8.25,2408.0,1853.5,251.83333333333334,2134.75,1285.6666666666667,60.166666666666664,506.5833333333333,1.1666666666666667
2010-03-01,66.41666666666667,734.8333333333334,4512.416666666667,1637.3333333333333,257.5833333333333,8.916666666666666,2658.6666666666665,2018.5833333333333,272.9166666666667,2372.5,1394.5833333333333,71.41666666666667,537.0833333333334,1.0833333333333333
2010-04-01,72.66666666666667,795.5,4717.916666666667,1759.8333333333333,264.75,9.75,2854.9166666666665,2181.3333333333335,289.9166666666667,2596.0833333333335,1481.9166666666667,83.75,570.0,1.25
2010-05-01,77.75,853.75,4916.166666666667,1860.25,271.25,11.166666666666666,3051.4166666666665,2330.6666666666665,297.4166666666667,2830.5833333333335,1566.1666666666667,95.16666666666667,601.1666666666666,1.1666666666666667
2010-06-01,81.25,907.9166666666666,5105.166666666667,1991.5,280.1666666666667,12.416666666666666,3232.6666666666665,2490.0,310.9166666666667,3040.5,1663.1666666666667,109.58333333333333,636.1666666666666,1.25
2010-07-01,86.75,970.0833333333334,5294.833333333333,2093.3333333333335,285.5833333333333,13.083333333333334,3420.9166666666665,2667.0,325.75,3255.0833333333335,1782.6666666666667,124.83333333333333,670.4166666666666,1.3333333333333333
2010-08-01,89.91666666666667,1040.1666666666667,5503.583333333333,2196.4166666666665,294.5833333333333,14.166666666666666,3630.8333333333335,2845.5833333333335,350.4166666666667,3501.9166666666665,1895.5833333333333,144.5,712.9166666666666,1.3333333333333333
2010-09-01,94.5,1107.5833333333333,5674.333333333333,2303.0,300.1666666666667,14.916666666666666,3835.75,3032.5833333333335,367.9166666666667,3704.8333333333335,1986.0833333333333,152.66666666666666,751.3333333333334,1.25
2010-10-01,98.58333333333333,1163.3333333333333,5842.75,2406.75,309.0,16.0,4046.4166666666665,3205.5,386.0833333333333,3884.75,2090.3333333333335,164.41666666666666,787.4166666666666,1.25
2010-11-01,105.41666666666667,1222.4166666666667,6062.916666666667,2541.4166666666665,318.6666666666667,11.833333333333334,4283.083333333333,3398.6666666666665,398.0,4087.6666666666665,2178.0,176.75,810.3333333333334,1.1666666666666667
2010-12-01,110.5,1273.9166666666667,6281.75,2664.8333333333335,321.9166666666667,12.416666666666666,4532.416666666667,3619.1666666666665,417.9166666666667,4301.833333333333,2252.5833333333335,188.66666666666666,847.75,1.25
2011-01-01,113.25,1313.9166666666667,6521.583333333333,2789.8333333333335,327.5,12.416666666666666,4767.25,3853.1666666666665,432.75,4552.25,2332.4166666666665,201.66666666666666,890.9166666666666,1.5
2011-02-01,119.58333333333333,1364.3333333333333,6782.25,2887.5,333.9166666666667,13.166666666666666,5041.75,4098.916666666667,444.0,4848.333333333333,2428.3333333333335,218.33333333333334,938.0,1.5833333333333333
2011-03-01,125.41666666666667,1446.9166666666667,7112.166666666667,3032.6666666666665,350.5833333333333,12.75,5377.916666666667,4414.0,461.6666666666667,5212.583333333333,2568.25,241.91666666666666,1016.5833333333334,1.8333333333333333
2011-04-01,128.25,1518.25,7404.0,3172.75,361.5,12.5,5712.416666666667,4737.083333333333,477.3333333333333,5547.916666666667,2695.9166666666665,268.25,1076.9166666666667,1.9166666666666667
2011-05-01,132.41666666666666,1572.0833333333333,7745.583333333333,3294.9166666666665,377.9166666666667,14.166666666666666,6079.0,5077.5,501.9166666666667,5891.583333333333,2821.9166666666665,292.25,1142.6666666666667,1.9166666666666667
